To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
ENET0_GTX_CLK,Unknown,PIN_A17,7,B7_N2,2.5 V,,,,
ENET0_INT_N,Unknown,PIN_A21,7,B7_N1,2.5 V,,,,
ENET0_LINK100,Unknown,PIN_C14,8,B8_N0,3.3-V LVTTL,,,,
ENET0_MDC,Unknown,PIN_C20,7,B7_N1,2.5 V,,,,
ENET0_MDIO,Unknown,PIN_B21,7,B7_N1,2.5 V,,,,
ENET0_RST_N,Unknown,PIN_C19,7,B7_N1,2.5 V,,,,
ENET0_RX_CLK,Unknown,PIN_A15,7,B7_N2,2.5 V,,,,
ENET0_RX_COL,Unknown,PIN_E15,7,B7_N2,2.5 V,,,,
ENET0_RX_CRS,Unknown,PIN_D15,7,B7_N2,2.5 V,,,,
ENET0_RX_DATA[0],Unknown,PIN_C16,7,B7_N2,2.5 V,,,,
ENET0_RX_DATA[1],Unknown,PIN_D16,7,B7_N2,2.5 V,,,,
ENET0_RX_DATA[2],Unknown,PIN_D17,7,B7_N1,2.5 V,,,,
ENET0_RX_DATA[3],Unknown,PIN_C15,7,B7_N2,2.5 V,,,,
ENET0_RX_DV,Unknown,PIN_C17,7,B7_N1,2.5 V,,,,
ENET0_RX_ER,Unknown,PIN_D18,7,B7_N1,2.5 V,,,,
ENET0_TX_CLK,Unknown,PIN_B17,7,B7_N2,2.5 V,,,,
ENET0_TX_DATA[0],Unknown,PIN_C18,7,B7_N1,2.5 V,,,,
ENET0_TX_DATA[1],Unknown,PIN_D19,7,B7_N1,2.5 V,,,,
ENET0_TX_DATA[2],Unknown,PIN_A19,7,B7_N1,2.5 V,,,,
ENET0_TX_DATA[3],Unknown,PIN_B19,7,B7_N1,2.5 V,,,,
ENET0_TX_EN,Unknown,PIN_A18,7,B7_N1,2.5 V,,,,
ENET0_TX_ER,Unknown,PIN_B18,7,B7_N1,2.5 V,,,,
ENETCLK_25,Unknown,PIN_A14,8,B8_N0,3.3-V LVTTL,,,,
